r, distances, 	unit id 1, 	unit id 2
1, 	0.32, 	7017, 	30071
2, 	0.33, 	7017, 	21043
3, 	0.38, 	7017, 	21207
4, 	0.53, 	7017, 	8031
5, 	0.62, 	7017, 	21197
6, 	0.65, 	7017, 	30125
7, 	0.65, 	7017, 	21186
8, 	0.66, 	7017, 	12011
9, 	0.71, 	7017, 	21172
10, 	0.71, 	7017, 	12056
11, 	0.77, 	7017, 	30014
12, 	0.82, 	7017, 	12021
13, 	0.88, 	7017, 	30080
14, 	0.98, 	7017, 	13012
15, 	0.99, 	7017, 	30053
16, 	1.03, 	7017, 	30072
17, 	1.07, 	7017, 	30085
18, 	1.09, 	7017, 	30117
19, 	1.10, 	7017, 	13073
20, 	1.10, 	7017, 	30135 
